Cat,Identifier,Variable,Mean,SD,2.50%,5%,25%,50%,75%,95%,97.50%
Luna A.,H33,p.global.Catfood,0.901,0.092,0.669,0.754,0.887,0.922,0.948,0.975,0.984
,,p.global.CombinedPrey,0.099,0.092,0.016,0.025,0.052,0.078,0.113,0.246,0.331
Nola,H73,p.global.Catfood,0.336,0.182,0.024,0.045,0.192,0.341,0.478,0.63,0.666
,,p.global.CombinedPrey,0.664,0.182,0.334,0.37,0.522,0.659,0.808,0.955,0.976
Oatmeal,H51,Model did not run,,,,,,,,,
Orange,H70,Model did not run,,,,,,,,,
Oreo,H65,p.global.CombinedPrey,0.166,0.134,0.006,0.015,0.066,0.138,0.231,0.421,0.505
,,p.global.PurinaDF,0.591,0.206,0.094,0.178,0.473,0.615,0.742,0.889,0.918
,,p.global.WetfoodMeat,0.243,0.183,0.007,0.016,0.095,0.204,0.351,0.594,0.685
Pancho,H78,p.global.Catfood,0.173,0.122,0.007,0.014,0.072,0.151,0.252,0.4,0.442
,,p.global.CombinedPrey,0.827,0.122,0.558,0.6,0.748,0.849,0.928,0.986,0.993
Pumpkin,H42,Model did not run,,,,,,,,,
Sandstorm,H13,Model did not run,,,,,,,,,
Selkie,H82,p.global.CombinedPrey,0.223,0.195,0.006,0.013,0.078,0.168,0.312,0.636,0.733
,,p.global.NBDF,0.65,0.195,0.112,0.204,0.573,0.717,0.788,0.846,0.861
,,p.global.WetfoodFish,0.127,0.079,0.009,0.017,0.067,0.122,0.174,0.257,0.308
Smattie,H18,p.global.CombinedPrey,0.23,0.181,0.015,0.028,0.1,0.181,0.308,0.611,0.732
,,p.global.NBDF,0.668,0.186,0.16,0.249,0.595,0.727,0.8,0.861,0.878
,,p.global.WetfoodFish,0.102,0.059,0.008,0.015,0.062,0.098,0.132,0.206,0.243
Snickerdoodle,H22,.global.CombinedPrey,0.149,0.19,0.003,0.006,0.034,0.08,0.179,0.59,0.79
,,p.global.HillsDF,0.851,0.19,0.21,0.41,0.821,0.92,0.966,0.994,0.997
